,statistic,parameter,p.value,null.value,alternative,method,data.name
args[1],20728,NULL,0.052522109635831,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3277.5,NULL,0.413558189674323,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],6411424.5,NULL,0.00014610091776836,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],610.5,NULL,0.250172299305276,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],81436,NULL,8.34879987312983e-06,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],4325,NULL,0.32713908780503,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],189900,NULL,8.44336710648603e-08,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],5026.5,NULL,0.0729522732247749,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],27841.5,NULL,0.493453549968355,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],2062,NULL,0.000642585245120196,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1864,NULL,0.0652177584309371,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3440,NULL,0.00115461131292643,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],272505.5,NULL,0.187763437740433,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],5203.5,NULL,0.542748728173228,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],26028,NULL,0.000207245059968973,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],39460,NULL,0.453799079091384,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],2505,NULL,0.566065155125601,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3437.5,NULL,0.362525516702773,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],188,NULL,0.0149982869955631,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],24443,NULL,0.679983992343253,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1771,NULL,0.0352238717334186,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],60205,NULL,0.0100438374573979,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1289,NULL,0.723635964857045,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],986208.5,NULL,0.487499229482928,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],379.5,NULL,0.837605162658947,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],13338,NULL,0.0170866495984274,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],11816,NULL,0.129696716502359,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],136,NULL,0.974747827590216,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],127214,NULL,9.70912438710227e-06,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1073,NULL,0.876970518717271,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],5022,NULL,0.0664746055066806,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],202.5,NULL,0.499787037043045,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],435,NULL,0.877924387121642,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],80.5,NULL,0.143026715271999,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],52807,NULL,5.85512882408301e-15,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],5226,NULL,0.386725837902042,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],11096.5,NULL,0.244634164136976,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],28430.5,NULL,4.08724899419516e-10,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],514338.5,NULL,7.68453021125272e-16,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],19639155.5,NULL,1.55241823293812e-90,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],22159,NULL,5.51358296098752e-17,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],265.5,NULL,0.971688762506281,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],86423,NULL,1.61110369958681e-11,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],123678,NULL,0.210879951254631,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1173,NULL,0.103085454095884,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],105953,NULL,3.71720937866798e-16,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],8922396,NULL,0.0113534987232029,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],389.5,NULL,0.910341138925219,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],8838,NULL,0.0250591184836739,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],302660,NULL,6.11084292415446e-18,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3537,NULL,0.00281840508615657,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3075471,NULL,1.17335406072481e-17,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1203048,NULL,0.444900053348013,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1498.5,NULL,0.00175937768551877,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3390,NULL,0.230621218740305,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],4893,NULL,2.47105004818746e-15,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],9099.5,NULL,0.094048943263678,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],53549,NULL,1.92194701089112e-16,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],40812,NULL,5.23119347753894e-20,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],88448202,NULL,1.89119121890485e-124,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],6900,NULL,0.0126873685748634,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],2569.5,NULL,0.00656375249993115,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],497528,NULL,0.011831205030065,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],2611.5,NULL,0.158755812003607,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],9602,NULL,1.38629990462172e-10,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],4322.5,NULL,1.72440654949744e-08,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],781.5,NULL,0.196855253610655,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],14369.5,NULL,0.759669203288855,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3524,NULL,0.500908463912381,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],7757.5,NULL,0.678952417078969,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],891713,NULL,0.0477188923362307,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],293744,NULL,0.0118863072296862,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],2469814.5,NULL,0.0357616109696733,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3022,NULL,0.197883465652064,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],17700,NULL,3.42762026581093e-06,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],778.5,NULL,0.0437227506378045,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],14957,NULL,0.0448168575121797,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1640,NULL,0.575305319914597,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],5935,NULL,0.270570401666136,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],573616,NULL,9.88382782814573e-27,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],71,NULL,0.00397793634644916,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],2626,NULL,0.0524136420922178,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],6984,NULL,0.891131984760154,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],8548,NULL,0.32532124538228,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],7595.5,NULL,0.937505907603399,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
