,statistic,parameter,p.value,null.value,alternative,method,data.name
args[1],16677,NULL,0.0706193404922962,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3211.5,NULL,0.305576081811141,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],6275979,NULL,1.72677374695093e-07,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],576,NULL,0.509425797538372,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],73472,NULL,0.0666366840702381,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3983,NULL,0.953136757155296,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],173760,NULL,3.50087094251704e-14,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],6039.5,NULL,0.847331674095495,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],27658,NULL,0.581904577776523,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],2131.5,NULL,0.00196632185994358,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1870.5,NULL,0.0582487302364584,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3535,NULL,0.000374940607210986,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],309780.5,NULL,0.00294622839608602,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],4979.5,NULL,0.257632930278774,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],26415,NULL,4.05471931285136e-05,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],34200,NULL,0.0377770174980415,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],2060,NULL,0.021477672085219,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],3495,NULL,0.274008316381798,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],220,NULL,0.100874334393845,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],24687.5,NULL,0.564779244644676,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1821,NULL,0.0695662316426798,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],65530,NULL,0.420983856157689,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1160,NULL,0.251413473768571,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1009994.5,NULL,0.616765022335939,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],421,NULL,0.402334130442352,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],9976,NULL,0.0598758901054244,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],11962.5,NULL,0.182070787844217,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],138,NULL,0.874243297864103,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],123716,NULL,4.86592161869566e-07,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],1134,NULL,0.51043483333381,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],5075,NULL,0.0478303619311916,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
args[1],238.5,NULL,0.843492902900657,0,two.sided,Wilcoxon rank sum test with continuity correction,a and b
